规则类型,词条内容,分类,权重分
RISK_WORD,赌博,GAMBLING,25
RISK_WORD,色情,PORNOGRAPHY,25
RISK_WORD,毒品,DRUGS,25
RISK_CONTEXT,资源,GENERAL,10
RISK_CONTEXT,加群,GENERAL,20
RISK_CONTEXT,付款,GENERAL,20
RISK_CONTEXT,地址,GENERAL,25
RISK_CONTEXT,购买,GENERAL,20
RISK_CONTEXT,教程,GENERAL,20
RISK_CONTEXT,下载链接,GENERAL,15
RISK_CONTEXT,交易,GENERAL,15
RISK_CONTEXT,联系方式,GENERAL,45
RISK_CONTEXT,微信,GENERAL,45
SAFE_CONTEXT,严禁,GENERAL,-40
SAFE_CONTEXT,警方,GENERAL,-25
SAFE_CONTEXT,打击,GENERAL,-35
SAFE_CONTEXT,禁毒,DRUGS,-35
SAFE_CONTEXT,研究,GENERAL,-25
SAFE_CONTEXT,治理,GENERAL,-25
SAFE_CONTEXT,杀毒软件,DRUGS,-40
SAFE_CONTEXT,法律,GENERAL,-25
SAFE_CONTEXT,赌博罪,GAMBLING,-35
SAFE_CONTEXT,宣传如何,GENERAL,-30
SAFE_CONTEXT,如何识别,GENERAL,-30
SAFE_CONTEXT,防范宣传,GENERAL,-35
ALLOW_TERM,中华人民共和国刑法,GENERAL,0
RISK_WORD,法轮功,POLITICS,75
RISK_WORD,法仑功,POLITICS,75
RISK_WORD,发轮功,POLITICS,75
RISK_WORD,法沦功,POLITICS,75
RISK_WORD,法轮大法,POLITICS,75
RISK_WORD,李洪志,POLITICS,75
RISK_WORD,转法轮,POLITICS,75
RISK_WORD,大纪元,POLITICS,75
RISK_WORD,新唐人,POLITICS,75
RISK_WORD,明慧网,POLITICS,75
RISK_WORD,退党保平安,POLITICS,75
RISK_WORD,九评共产党,POLITICS,75
RISK_WORD,全能神,POLITICS,75
RISK_WORD,全能神教,POLITICS,75
RISK_WORD,东方闪电,POLITICS,75
RISK_WORD,门徒会,POLITICS,75
RISK_WORD,主神教,POLITICS,75
RISK_WORD,三班仆人派,POLITICS,75
RISK_WORD,被立王,POLITICS,75
RISK_WORD,灵灵教,POLITICS,75
RISK_WORD,华藏宗门,POLITICS,75
RISK_WORD,观音法门,POLITICS,75
RISK_WORD,统一教,POLITICS,75
RISK_WORD,奥姆真理教,POLITICS,75
RISK_WORD,呼喊派,POLITICS,75
RISK_WORD,常受主派,POLITICS,75
RISK_WORD,血水圣灵,POLITICS,75
RISK_WORD,实际神,POLITICS,75
RISK_WORD,冷水教,POLITICS,75
RISK_WORD,圆顿法门,POLITICS,75
RISK_WORD,天父的儿女,POLITICS,75
RISK_WORD,达赖喇嘛,POLITICS,75
RISK_WORD,藏独,POLITICS,75
RISK_WORD,西藏独立,POLITICS,75
RISK_WORD,疆独,POLITICS,75
RISK_WORD,东突厥斯坦,POLITICS,75
RISK_WORD,东突,POLITICS,75
RISK_WORD,港独,POLITICS,75
RISK_WORD,香港独立,POLITICS,75
RISK_WORD,台独,POLITICS,75
RISK_WORD,台湾独立,POLITICS,75
RISK_WORD,颠覆国家政权,POLITICS,75
RISK_WORD,分裂国家,POLITICS,75
RISK_WORD,推翻政府,POLITICS,75
RISK_WORD,茉莉花革命,POLITICS,75
RISK_WORD,六四事件,POLITICS,75
RISK_WORD,天安门事件,POLITICS,75
RISK_WORD,八平方,POLITICS,75
RISK_WORD,占领中环,POLITICS,75
RISK_WORD,时代革命,POLITICS,75
RISK_WORD,自制炸弹,VIOLENCE,75
RISK_WORD,制造炸药,VIOLENCE,75
RISK_WORD,雷管引爆,VIOLENCE,75
RISK_WORD,黑火药配方,VIOLENCE,75
RISK_WORD,TNT炸药,VIOLENCE,75
RISK_WORD,定时炸弹,VIOLENCE,75
RISK_WORD,自杀式袭击,VIOLENCE,75
RISK_WORD,恐怖袭击,VIOLENCE,75
RISK_WORD,圣战组织,VIOLENCE,75
RISK_WORD,伊斯兰国,VIOLENCE,75
RISK_WORD,基地组织,VIOLENCE,75
RISK_WORD,买凶杀人,VIOLENCE,75
RISK_WORD,职业杀手,VIOLENCE,75
RISK_WORD,暗网雇凶,VIOLENCE,75
RISK_WORD,枪支买卖,VIOLENCE,75
RISK_WORD,手枪出售,VIOLENCE,75
RISK_WORD,步枪购买,VIOLENCE,75
RISK_WORD,阻击步枪,VIOLENCE,75
RISK_WORD,狙击枪,VIOLENCE,75
RISK_WORD,猎枪改装,VIOLENCE,75
RISK_WORD,仿真枪买卖,VIOLENCE,75
RISK_WORD,左轮手枪,VIOLENCE,75
RISK_WORD,消音器制作,VIOLENCE,75
RISK_WORD,弩弓管制,VIOLENCE,75
RISK_WORD,剧毒化学品,VIOLENCE,75
RISK_WORD,氰化钾,VIOLENCE,75
RISK_WORD,氰化钠,VIOLENCE,75
RISK_WORD,蓖麻毒素,VIOLENCE,75
